Tracker (v6.1.0) Table Data

Track: Point Mass (Shotput, Bowling, Redball, Tennis, Pingpong)

Location: Manalapan High School

Units: Length (m), Time (s), mass(kg)

type,trial,frame,t,y,v_y,a_y
Bowling Ball,2,0,0.0,0.0,0.0,0.0
Bowling Ball,2,15,0.25,-0.3277,-2.6215,-10.486
Bowling Ball,2,30,0.5,-1.2999,-5.1995,-10.399
Bowling Ball,2,45,0.75,-2.9287,-7.8098,-10.413
Bowling Ball,2,60,1.0,-5.2325,-10.465,-10.465
Bowling Ball,3,0,0.0,0.0,0.0,0.0
Bowling Ball,3,15,0.247,-0.3152,-2.5525,-10.334
Bowling Ball,3,30,0.495,-1.2614,-5.0965,-10.296
Bowling Ball,3,45,0.742,-2.8483,-7.6775,-10.347
Bowling Ball,3,60,0.99,-5.0681,-10.2386,-10.342
Bowling Ball,4,0,0.0,0.0,0.0,0.0
Bowling Ball,4,15,0.253,-0.3274,-2.5884,-10.231
Bowling Ball,4,30,0.505,-1.3103,-5.1894,-10.276
Bowling Ball,4,45,0.758,-2.9377,-7.7513,-10.226
Bowling Ball,4,60,1.01,-5.2132,-10.3232,-10.221
Bowling Ball,5,0,0.0,0.0,0.0,0.0
Bowling Ball,5,15,0.25,-0.3226,-2.5808,-10.323
Bowling Ball,5,30,0.5,-1.2808,-5.123,-10.246
Bowling Ball,5,45,0.75,-2.9064,-7.7505,-10.334
Bowling Ball,5,60,1.0,-5.116,-10.232,-10.232
Redball,1,0,0.0,0.0,0.0,0.0
Redball,1,12,0.2,-0.2081,-2.0601,-10.298
Redball,1,36,0.602,-1.8592,-6.1802,-10.295
Redball,1,48,0.801,-3.3012,-8.2405,-10.302
Redball,1,60,1.0,-5.1504,-10.3002,-10.3
Redball,2,0,0.0,0.0,0.0,0.0
Redball,2,15,0.253,-0.3246,-2.5662,-10.143
Redball,2,30,0.505,-1.2852,-5.0899,-10.079
Redball,2,45,0.758,-2.9194,-7.7028,-10.162
Redball,2,60,1.01,-5.1867,-10.2707,-10.169
Redball,3,0,0.0,0.0,0.0,0.0
Redball,3,15,0.25,-0.3226,-2.5805,-10.322
Redball,3,30,0.5,-1.296,-5.184,-10.368
Redball,3,45,0.75,-2.909,-7.7572,-10.343
Redball,3,60,1.0,-5.1455,-10.291,-10.291
Redball,4,0,0.0,0.0,0.0,0.0
Redball,4,15,0.247,-0.3097,-2.5075,-10.152
Redball,4,30,0.495,-1.2554,-5.0723,-10.247
Redball,4,45,0.742,-2.8244,-7.6129,-10.26
Redball,4,60,0.99,-5.0358,-10.1732,-10.276
Redball,5,0,0.0,0.0,0.0,0.0
Redball,5,15,0.253,-0.3266,-2.5819,-10.205
Redball,5,30,0.505,-1.3112,-5.1929,-10.283
Redball,5,45,0.758,-2.9349,-7.7437,-10.216
Redball,5,61,1.01,-5.2163,-10.3293,-10.227
Tennis Ball,1,0,0.0,0.0,0.0,0.0
Tennis Ball,1,15,0.251,-0.3094,-2.4451,-9.782
Tennis Ball,1,30,0.502,-1.2284,-4.8904,-9.778
Tennis Ball,1,45,0.751,-2.7591,-7.3352,-9.785
Tennis Ball,1,61,1.017,-5.0562,-9.9461,-9.78
Tennis Ball,2,0,0.0,0.0,0.0,0.0
Tennis Ball,2,15,0.258,-0.3423,-2.6535,-10.285
Tennis Ball,2,30,0.515,-1.3769,-5.3472,-10.383
Tennis Ball,2,45,0.772,-3.0854,-7.9933,-10.354
Tennis Ball,2,60,1.03,-5.5252,-10.7285,-10.416
Tennis Ball,3,0,0.0,0.0,0.0,0.0
Tennis Ball,3,15,0.253,-0.3219,-2.5449,-10.059
Tennis Ball,3,30,0.505,-1.2852,-5.0899,-10.079
Tennis Ball,3,45,0.758,-2.9153,-7.6922,-10.148
Tennis Ball,3,60,1.01,-5.1265,-10.1515,-10.051
Tennis Ball,4,0,0.0,0.0,0.0,0.0
Tennis Ball,4,15,0.255,-0.3327,-2.6097,-10.234
Tennis Ball,4,30,0.51,-1.339,-5.251,-10.296
Tennis Ball,4,45,0.765,-3.0069,-7.8611,-10.276
Tennis Ball,4,60,1.02,-5.3669,-10.5233,-10.317
Tennis Ball,5,0,0.0,0.0,0.0,0.0
Tennis Ball,5,15,0.26,-0.3454,-2.6567,-10.218
Tennis Ball,5,30,0.52,-1.3771,-5.2967,-10.186
Tennis Ball,5,45,0.78,-3.0952,-7.9365,-10.175
Tennis Ball,5,60,1.04,-5.4875,-10.5529,-10.147
Pingpong Ball,1,0,0.0,0.0,0.0,0.0
Pingpong Ball,1,13,0.218,-0.2261,-2.0494,-9.438
Pingpong Ball,1,39,0.651,-2.0014,-6.1364,-9.435
Pingpong Ball,1,52,0.868,-3.5521,-8.1842,-9.444
Pingpong Ball,1,63,1.05,-5.2032,-9.9125,-9.44
Pingpong Ball,2,0,0.0,0.0,0.0,0.0
Pingpong Ball,2,15,0.268,-0.3696,-2.7585,-10.293
Pingpong Ball,2,30,0.535,-1.4822,-5.541,-10.357
Pingpong Ball,2,45,0.802,-3.3267,-8.2959,-10.344
Pingpong Ball,2,60,1.07,-5.8825,-10.9953,-10.276
Pingpong Ball,3,0,0.0,0.0,0.0,0.0
Pingpong Ball,3,15,0.265,-0.3683,-2.7796,-10.489
Pingpong Ball,3,30,0.53,-1.4761,-5.5703,-10.51
Pingpong Ball,3,45,0.795,-3.314,-8.3372,-10.487
Pingpong Ball,3,60,1.06,-5.9079,-11.147,-10.516
Pingpong Ball,4,0,0.0,0.0,0.0,0.0
Pingpong Ball,4,15,0.27,-0.3841,-2.8455,-10.539
Pingpong Ball,4,30,0.54,-1.5376,-5.6948,-10.546
Pingpong Ball,4,45,0.81,-3.4517,-8.5228,-10.522
Pingpong Ball,4,60,1.08,-6.1096,-11.3141,-10.476
Pingpong Ball,5,0,0.0,0.0,0.0,0.0
Pingpong Ball,5,15,0.265,-0.3677,-2.7751,-10.472
Pingpong Ball,5,30,0.53,-1.4728,-5.5576,-10.486
Pingpong Ball,5,45,0.795,-3.3055,-8.3157,-10.46
Pingpong Ball,5,60,1.06,-5.8607,-11.0579,-10.432
